file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.813525e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
3.637500e+002,2.843705e-007,-1.309223e+002
3.650000e+002,1.374358e-007,-1.372380e+002
3.662500e+002,4.652516e-007,-1.266462e+002
3.675000e+002,2.507801e-006,-1.120141e+002
3.687500e+002,4.054699e-006,-1.078408e+002
3.700000e+002,3.588728e-007,-1.289012e+002
3.712500e+002,5.790087e-006,-1.047463e+002
3.725000e+002,6.340592e-006,-1.039574e+002
3.737500e+002,8.152347e-007,-1.217743e+002
3.750000e+002,1.879650e-006,-1.145185e+002
3.762500e+002,2.838151e-006,-1.109393e+002
3.775000e+002,4.857152e-007,-1.262724e+002
3.787500e+002,4.017862e-006,-1.079201e+002
3.800000e+002,1.471708e-005,-9.664357e+001
3.812500e+002,4.348047e-006,-1.072341e+002
3.825000e+002,1.767355e-006,-1.150535e+002
3.837500e+002,1.613274e-007,-1.358458e+002
3.850000e+002,4.786295e-006,-1.064000e+002
3.862500e+002,1.315430e-005,-9.761865e+001
3.875000e+002,3.821094e-005,-8.835625e+001
3.887500e+002,6.804317e-006,-1.033443e+002
3.900000e+002,7.448142e-005,-8.255904e+001
3.912500e+002,1.244963e-004,-7.809687e+001
3.925000e+002,1.301748e-005,-9.770946e+001
3.937500e+002,1.905174e-006,-1.144013e+002
3.950000e+002,6.783688e-006,-1.033707e+002
3.962500e+002,4.046101e-007,-1.278593e+002
3.975000e+002,3.167188e-006,-1.099865e+002
3.987500e+002,2.779815e-006,-1.111197e+002
4.000000e+002,5.074917e-006,-1.058914e+002
4.012500e+002,7.692695e-007,-1.222784e+002
4.025000e+002,1.445655e-006,-1.167987e+002
4.037500e+002,3.547406e-006,-1.090018e+002
4.050000e+002,3.508354e-006,-1.090979e+002
4.062500e+002,1.116053e-005,-9.904630e+001
4.075000e+002,4.758380e-006,-1.064508e+002
4.087500e+002,2.047677e-006,-1.137748e+002
4.100000e+002,1.283122e-005,-9.783464e+001
4.112500e+002,1.321739e-005,-9.757709e+001
4.125000e+002,2.485385e-006,-1.120921e+002
4.137500e+002,3.880477e-006,-1.082223e+002
4.150000e+002,5.637736e-006,-1.049779e+002
4.162500e+002,3.092005e-006,-1.101952e+002
4.175000e+002,1.802333e-006,-1.148833e+002
4.187500e+002,6.391362e-006,-1.038881e+002
4.200000e+002,1.617009e-006,-1.158258e+002
4.212500e+002,1.354867e-006,-1.173621e+002
4.225000e+002,8.426862e-007,-1.214867e+002
4.237500e+002,2.773770e-006,-1.111386e+002
4.250000e+002,1.927106e-006,-1.143019e+002
4.262500e+002,2.691676e-006,-1.113995e+002
4.275000e+002,4.542119e-006,-1.068548e+002
4.287500e+002,4.373754e-005,-8.718291e+001
4.300000e+002,7.176704e-005,-8.288150e+001
4.312500e+002,4.881309e-005,-8.622927e+001
4.325000e+002,1.845213e-006,-1.146791e+002
4.337500e+002,6.210007e-007,-1.241382e+002
4.350000e+002,2.510719e-006,-1.120040e+002
4.362500e+002,4.914464e-006,-1.061705e+002
4.375000e+002,9.365251e-006,-1.005696e+002
4.387500e+002,8.212493e-006,-1.017105e+002
4.400000e+002,8.952550e-006,-1.009611e+002
4.412500e+002,1.172490e-005,-9.861782e+001
4.425000e+002,2.920229e-005,-9.069166e+001
4.437500e+002,2.046900e-005,-9.377807e+001
4.450000e+002,1.640924e-005,-9.569823e+001
4.462500e+002,5.790355e-005,-8.474590e+001
4.475000e+002,1.335944e-004,-7.748423e+001
4.487500e+002,5.834669e-005,-8.467968e+001
4.500000e+002,9.075840e-006,-1.008423e+002
4.512500e+002,1.423896e-005,-9.693043e+001
4.525000e+002,2.053108e-005,-9.375176e+001
4.537500e+002,5.766948e-006,-1.047811e+002
4.550000e+002,3.150099e-006,-1.100335e+002
4.562500e+002,3.725439e-006,-1.085764e+002
4.575000e+002,2.982445e-005,-9.050855e+001
4.587500e+002,4.612414e-005,-8.672143e+001
4.600000e+002,1.146422e-005,-9.881311e+001
4.612500e+002,1.468465e-005,-9.666273e+001
4.625000e+002,5.966947e-006,-1.044850e+002
4.637500e+002,4.171430e-006,-1.075943e+002
4.650000e+002,1.242493e-005,-9.811412e+001
4.662500e+002,2.685848e-006,-1.114184e+002
4.675000e+002,5.072767e-005,-8.589510e+001
4.687500e+002,1.641986e-005,-9.569261e+001
4.700000e+002,7.188276e-007,-1.228675e+002
4.712500e+002,9.604849e-006,-1.003502e+002
4.725000e+002,6.050462e-005,-8.436423e+001
4.737500e+002,1.015256e-003,-5.986849e+001
4.750000e+002,3.034175e-003,-5.035919e+001
4.762500e+002,5.859205e-004,-6.464323e+001
4.775000e+002,3.826735e-005,-8.834343e+001
4.787500e+002,2.279427e-005,-9.284349e+001
4.800000e+002,6.623026e-006,-1.035789e+002
4.812500e+002,6.467093e-006,-1.037858e+002
4.825000e+002,2.308367e-006,-1.127339e+002
4.837500e+002,2.367591e-006,-1.125139e+002
4.850000e+002,2.889947e-005,-9.078220e+001
4.862500e+002,2.800438e-005,-9.105548e+001
4.875000e+002,8.630227e-006,-1.012796e+002
4.887500e+002,8.800545e-006,-1.011098e+002
4.900000e+002,1.310636e-005,-9.765036e+001
4.912500e+002,1.647090e-006,-1.156657e+002
4.925000e+002,1.242762e-005,-9.811224e+001
4.937500e+002,1.635895e-006,-1.157249e+002
4.950000e+002,2.577182e-005,-9.177710e+001
4.962500e+002,1.478319e-004,-7.660464e+001
4.975000e+002,3.674555e-004,-6.869590e+001
4.987500e+002,5.723112e-005,-8.484735e+001
5.000000e+002,1.831858e-005,-9.474216e+001
5.012500e+002,5.837271e-005,-8.467580e+001
5.025000e+002,6.091697e-005,-8.430523e+001
5.037500e+002,7.012761e-006,-1.030822e+002
5.050000e+002,1.424083e-004,-7.692929e+001
5.062500e+002,1.529604e-002,-3.630842e+001
5.075000e+002,2.575199e-002,-3.178378e+001
5.087500e+002,2.026211e-003,-5.386631e+001
5.100000e+002,2.021988e-004,-7.388443e+001
5.112500e+002,6.432129e-005,-8.383291e+001
5.125000e+002,6.103558e-006,-1.042883e+002
5.137500e+002,1.169648e-004,-7.863889e+001
5.150000e+002,8.674470e-005,-8.123514e+001
5.162500e+002,8.014983e-004,-6.192195e+001
5.175000e+002,1.536200e-003,-5.627105e+001
5.187500e+002,1.273370e-004,-7.790091e+001
5.200000e+002,1.102651e-005,-9.915124e+001
5.212500e+002,2.820916e-005,-9.099220e+001
5.225000e+002,1.461094e-005,-9.670644e+001
5.237500e+002,1.116380e-005,-9.904376e+001
5.250000e+002,2.189547e-006,-1.131929e+002
5.262500e+002,1.506179e-004,-7.644247e+001
5.275000e+002,2.256866e-004,-7.292988e+001
5.287500e+002,1.911225e-005,-9.437376e+001
5.300000e+002,9.343335e-006,-1.005900e+002
5.312500e+002,2.768450e-006,-1.111553e+002
5.325000e+002,2.206686e-005,-9.312519e+001
5.337500e+002,2.710692e-005,-9.133839e+001
5.350000e+002,2.576366e-005,-9.177985e+001
5.362500e+002,7.133780e-004,-6.293361e+001
5.375000e+002,1.021138e-003,-5.981831e+001
5.387500e+002,1.203412e-004,-7.839171e+001
5.400000e+002,4.079920e-005,-8.778697e+001
5.412500e+002,4.042444e-005,-8.786712e+001
5.425000e+002,2.183103e-005,-9.321852e+001
5.437500e+002,1.803483e-005,-9.487776e+001
5.450000e+002,2.965123e-005,-9.055915e+001
5.462500e+002,8.314059e-005,-8.160374e+001
5.475000e+002,3.365509e-005,-8.945899e+001
5.487500e+002,4.153920e-006,-1.076308e+002
5.500000e+002,1.201945e-005,-9.840231e+001
5.512500e+002,1.103347e-005,-9.914576e+001
5.525000e+002,4.203460e-006,-1.075279e+002
5.537500e+002,7.525861e-006,-1.024689e+002
5.550000e+002,4.117073e-005,-8.770823e+001
5.562500e+002,1.326853e-005,-9.754354e+001
5.575000e+002,8.566790e-006,-1.013436e+002
5.587500e+002,2.377677e-006,-1.124769e+002
5.600000e+002,4.942025e-006,-1.061219e+002
5.612500e+002,4.663737e-005,-8.662532e+001
5.625000e+002,3.000534e-005,-9.045603e+001
5.637500e+002,1.342623e-004,-7.744092e+001
5.650000e+002,1.755496e-005,-9.511201e+001
5.662500e+002,5.625309e-004,-6.499707e+001
5.675000e+002,7.841549e-004,-6.211196e+001
5.687500e+002,4.800618e-005,-8.637406e+001
5.700000e+002,1.899642e-005,-9.442656e+001
5.712500e+002,3.095956e-004,-7.018411e+001
5.725000e+002,2.271773e-004,-7.287270e+001
